"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"Schindler's List","(1993)","8.9","Biography","Drama","Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall","
        
            In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
    ","(1,281,565)","Steven Spielberg","
Won 7 Oscars. Another 84 wins & 49 nominations.
            ","
                    $22,000,000 (estimated)
            ","
                    $566,760, 09 Dec 2018
            ","
                    $221,000,000
            ","
                            195 min
                        "
"Fight Club","(1999)","8.8","Drama",NA,"Edward Norton,Brad Pitt,Meat Loaf,Zach Grenier,Richmond Arquette","
        
            An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
    ","(1,970,380)","David Fincher","
Nominated for 1 Oscar. Another 11 wins & 37 nominations.
            ","
                    $63,000,000 (estimated)
            ","
                    $71,000,000
            ",NA,"
                            139 min
                        "
"The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","Action","Adventure","Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean","
        
            A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
    ","(1,751,519)","Peter Jackson","
Won 4 Oscars. Another 117 wins & 126 nominations.
            ","
                    $93,000,000 (estimated)
            ","
                    NZD2,945,822, 26 Dec 2001
            ","
                    $871,530,324, 25 Nov 2011
            ","
                            178 min
                        "
"Forrest Gump","(1994)","8.8","Drama","Romance","Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum","
        
            The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.
    ","(1,933,337)","Robert Zemeckis","
Won 6 Oscars. Another 44 wins & 75 nominations.
            ","
                    $55,000,000 (estimated)
            ","
                    $24,450,602, 10 Jul 1994
            ","
                    $677,945,399
            ","
                            142 min
                        "
"The Lord of the Rings: The Two Towers","(2002)","8.7","Action","Adventure","Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett","
        
            While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
    ","(1,564,058)","Peter Jackson","
Won 2 Oscars. Another 124 wins & 138 nominations.
            ","
                    $94,000,000 (estimated)
            ","
                    NZD3,004,178, 25 Dec 2002
            ","
                    $926,047,111, 25 Nov 2011
            ","
                            179 min
                        "
"The Matrix","(1999)","8.7","Action","Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster","
        
            When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
    ","(1,788,380)","Lana Wachowski","
Won 4 Oscars. Another 38 wins & 51 nominations.
            ","
                    $63,000,000 (estimated)
            ","
                    $27,788,331, 04 Apr 1999
            ","
                    $463,517,383
            ","
                            136 min
                        "
"Goodfellas","(1990)","8.7","Biography","Crime","Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino","
        
            The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
    ","(1,084,492)","Martin Scorsese","
Won 1 Oscar. Another 43 wins & 38 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    $6,368,901, 21 Sep 1990
            ",NA,"
                            146 min
                        "
"Star Wars: Episode V - The Empire Strikes Back","(1980)","8.7","Action","Adventure","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels","
        
            After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.
    ","(1,218,557)","Irvin Kershner","
Won 1 Oscar. Another 24 wins & 20 nominations.
            ","
                    $18,000,000 (estimated)
            ","
                    $10,840,307, 30 Jun 2012
            ","
                    $247,916,602
            ","
                            124 min
                        "
"Parasite","(2019)","8.6","Comedy","Drama","Kang-ho Song,Sun-kyun Lee,Yeo-jeong Cho,Woo-sik Choi,So-dam Park","
        
            Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
    ","(691,145)","Bong Joon Ho","
Won 4 Oscars. Another 303 wins & 272 nominations.
            ","
                    $269,366,141
            ",NA,NA,"
                            132 min
                        "
"Interstellar","(2014)","8.6","Adventure","Drama","Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,Timothée Chalamet","
        
            A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
    ","(1,652,808)","Christopher Nolan","
Won 1 Oscar. Another 43 wins & 148 nominations.
            ","
                    $165,000,000 (estimated)
            ","
                    $675,020,017
            ",NA,"
                            169 min
                        "
"Spirited Away","(2001)","8.6","Animation","Adventure","Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitô,Yasuko Sawaguchi","
        
            During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.
    ","(705,597)","Hayao Miyazaki","
Won 1 Oscar. Another 57 wins & 31 nominations.
            ","
                    $19,000,000 (estimated)
            ","
                    $8,898,000, 29 Jul 2002
            ","
                    $274,925,095
            ","
                            125 min
                        "
"Saving Private Ryan","(1998)","8.6","Drama","War","Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg","
        
            Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
    ","(1,308,940)","Steven Spielberg","
Won 5 Oscars. Another 74 wins & 75 nominations.
            ","
                    $70,000,000 (estimated)
            ","
                    $30,576,104, 26 Jul 1998
            ","
                    $481,840,909, 15 Jun 2012
            ","
                            169 min
                        "
"The Green Mile","(1999)","8.6","Crime","Drama","Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell","
        
            The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
    ","(1,219,229)","Frank Darabont","
Nominated for 4 Oscars. Another 15 wins & 33 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $18,017,152, 12 Dec 1999
            ","
                    $286,801,374
            ","
                            189 min
                        "
"Life Is Beautiful","(1997)","8.6","Comedy","Drama","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric","
        
            When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.
    ","(660,037)","Roberto Benigni","
Won 3 Oscars. Another 69 wins & 52 nominations.
            ","
                    $20,000,000 (estimated)
            ","
                    $229,163,264, 30 Jun 2012
            ",NA,"
                            116 min
                        "
